"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.258610742257033,0.296371631190747,0.333058107195306,0.340791704391453,0.369609463603511,0.536744719725982,0.0579666832127325
"Num_JM",0.252937903949893,0.301130729351227,0.332412058949328,0.35051414533035,0.384759140966168,0.57024198872558,0.0674377418376587
"Num_SubAF",0.1413299142171,0.213661249217371,0.26865318361316,0.294174598066569,0.370063452280582,0.621044276046031,0.109091616781716
"Num_SubAM",0.151825275715507,0.247749336106685,0.326002910526693,0.338597565719895,0.40978817539924,0.668189010178003,0.109700459964212
"Num_AF",0.889975911048798,0.983339279187329,1.0521230008118,1.07469878996205,1.14287585425695,1.4452605345025,0.119901418236862
"Num_AM",0.0274104424721886,0.0842470231167787,0.108089417852401,0.106126305491065,0.126980678310315,0.188270056093961,0.034996698148015
"Num_N",2.51398786786507,2.9601167860155,3.24982223381561,3.36355284829934,3.60123708946076,4.93566561925183,0.509881351420668
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",499.139415083471,648.728011974645,733.025851837055,753.04825383779,855.980835622685,1141.28676292979,146.249845547669
"Quantity_liveweight_kg_JF",11.4515031457991,29.0732933876579,33.7901011903605,34.8037834579424,39.6463794533879,65.7233941308736,10.4357929564653
"Quantity_liveweight_kg_JM",13.0591916250159,31.7770164565358,40.468558344526,41.828223022441,49.3964326802711,87.9931903503274,13.8830169034831
"Quantity_liveweight_kg_SubAF",22.9295706636198,36.4509546621272,50.7064283659773,54.9826361490981,67.2464664108519,127.980362561801,23.3828657126087
"Quantity_liveweight_kg_SubAM",25.265995544334,44.856487624948,65.4946407265382,68.1356970330394,82.9557404067647,154.290413213498,29.0109916727528
"Quantity_liveweight_kg_AF",172.12354546659,219.922247748916,255.591887384896,262.827048700458,297.147381352944,420.538157332243,53.1372413199866
"Quantity_liveweight_kg_AM",9.38119915946552,23.8340580233605,29.8324553415274,32.3740555784948,38.6244580140488,71.3672280416042,12.8226890653496
"Cumulative_draught_income",2746.79146399842,9713.38044511656,12315.858661858,12829.3694419693,16081.81348251,22368.5196860247,4783.40695590183
"Quantity_meat_kg",18.4020498560182,28.1774275105407,33.9253197066819,35.4264199044208,42.3769925083634,65.2602985941207,10.0631451074631
"Num_offtake",0.138374078728184,0.211670573529661,0.242713002738674,0.251385844575657,0.289599911570497,0.36831235836767,0.0575341113361496
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000885064621044317,0.00212666698688816,0.00307721852508204,0.00373817872559659,0.00494312453799856,0.0118059984932788,0.00217069545900672
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0665671874300669,0.0711906706266337,0.0766677788918785,0.0779866023655803,0.0826410372688493,0.105041608801469,0.00820253377286914
"Num_offtake_AM",0.00380891552220067,0.0149739115392676,0.0191727203665178,0.0187994734612894,0.0230703188858284,0.0347109670109994,0.0066090722068785
"Offtake_liveweight_kg",36.8040997120364,56.3548550210814,67.8506394133638,70.8528398088415,84.7539850167268,130.520597188241,20.1262902149263
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.164685363590472,0.379164672598742,0.574265786362115,0.696335357216278,0.890804614671152,1.9942809441233,0.420442319810829
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",12.7585311431503,16.1155756749977,18.6123203980993,19.0827860923962,21.7203535940652,30.564734561018,3.85462727266532
"Offtake_liveweight_kg_AM",1.3035978945469,4.27804137379728,5.26802929238011,5.73684341715875,7.04590338053913,13.2384120382082,2.39856277602323
"Pop_growth",0.324321231234794,0.478624194991564,0.535370991742914,0.547500955097897,0.619316350492207,0.888700984414296,0.10429967977769
"Pop_growth_JF",-0.132098150361965,0.14436413750338,0.203388785120735,0.187880740211021,0.249354485758979,0.351896228062567,0.0890717711220703
"Pop_growth_JM",-0.182258920220717,0.11577150606386,0.18782059049874,0.169982267237582,0.250468470644763,0.327113304813657,0.10621970462644
"Pop_growth_SubAF",-0.0673700059924622,0.108866580100237,0.148022041166592,0.152703681410973,0.200609874080853,0.351082733286278,0.0826408256508936
"Pop_growth_SubAM",-0.112502401993984,0.0925727716224159,0.142007515650288,0.150862049255426,0.211199590853008,0.462824465505954,0.09974073743221
"Pop_growth_AF",-0.167810689097949,-0.105177758031965,-0.0801451304798133,-0.0686211033888639,-0.0376476691406061,0.145140381936571,0.0555972206593769
"Pop_growth_AM",-0.0285363397142269,-0.0111584413976692,-0.00562810669940992,-0.00636403507566537,-0.00043539402352688,0.0130377067768036,0.00852891134445473
"Quantity_manure",1192.94373373086,1546.63652730885,1713.67382485023,1743.56822243546,1904.25240235023,2445.86251151929,280.61088787652
"Quantity_manure_JF",39.2002425536154,49.987703254712,58.2664125842557,64.1077752962481,72.4151168795055,139.074436589609,19.2184369563755
"Quantity_manure_JM",38.2054011078293,51.5783249351237,61.034754992441,67.8734540214154,77.5017616363337,143.262413308828,23.4369965684112
"Quantity_manure_SubAF",23.6393244382925,54.5057966415122,75.2602162073901,89.2259796517726,113.882927955222,267.274227478843,48.3338231127614
"Quantity_manure_SubAM",32.1504785021706,63.3580049297799,103.021966932456,107.901683298184,146.444048775326,235.989015725433,47.5486918500692
"Quantity_manure_AF",567.422119492964,685.646030561812,739.740942440523,747.901888285154,810.006889550708,966.366249203799,89.0146905741978
"Quantity_manure_AM",16.5031683327626,56.7520047155327,74.1038548447968,73.4973652142661,87.7834935362943,140.701845633635,25.9236053424071
"Value_manure",596.471866865432,773.318263654425,856.836912425114,871.78411121773,952.126201175114,1222.93125575964,140.30544393826
"Value_manure_JF",19.6001212768077,24.993851627356,29.1332062921278,32.053887648124,36.2075584397528,69.5372182948046,9.60921847818776
"Value_manure_JM",19.1027005539147,25.7891624675618,30.5173774962205,33.9367270107077,38.7508808181668,71.6312066544139,11.7184982842056
"Value_manure_SubAF",11.8196622191462,27.2528983207561,37.630108103695,44.6129898258863,56.9414639776109,133.637113739421,24.1669115563807
