"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.0155819436722273,0.0436956491326836,0.0715252103020101,0.074879265420506,0.0927417665949159,0.256807375477237,0.0434275226659135
"Num_JM",0.0190627069058939,0.0382279209863315,0.055285767307103,0.069809315746199,0.088884547839537,0.210568519333515,0.0423185611170043
"Num_SubAF",0.00889943241720543,0.126706859019532,0.184394955375463,0.193606215221418,0.237491485992916,0.54588870541393,0.095485754799359
"Num_SubAM",0.0214811470968585,0.106704016044967,0.149196364878796,0.169655981691283,0.21568805619193,0.499181305760276,0.0921999423113007
"Num_AF",0.843030861616141,0.98223881217498,1.05529753387913,1.07299280802977,1.15406441157912,1.41783993257763,0.118637643981
"Num_AM",0.0206055613577521,0.0777225610772425,0.0983452671937704,0.0999597387501314,0.124540926545614,0.158940039895872,0.0325557082179886
"Num_N",1.52765654297017,2.17862581794631,2.43340512215441,2.47186523334205,2.76900500295029,3.53232691234884,0.39993166256836
"Total_mortality",0.0384766824049142,0.0703088005663028,0.0867992784707576,0.0869704482532913,0.0989438429334451,0.136536067813714,0.0213763845592805
"Total_mortality_JF",0.00107364594371996,0.00647071227388464,0.0128879601026217,0.013495777162088,0.0172249331017346,0.0532586978735394,0.00946390554906969
"Total_mortality_JM",0.00141061776263994,0.00539978950063096,0.00932229190443852,0.0123904604016391,0.0166099905612703,0.0430738642221293,0.00923140076090702
"Total_mortality_SubAF",0.000325579990770727,0.00987111260095178,0.0140327087903156,0.015662305244503,0.0202827760297026,0.0537116110045127,0.00897693578929353
"Total_mortality_SubAM",0.000987199099204391,0.00841472417433719,0.0117480192554443,0.0133604287903019,0.01744356731269,0.0490610067525755,0.00815299292576376
"Total_mortality_AF",0.0186980571843527,0.0207445874298754,0.0221012313595952,0.0226637474192754,0.024089231602068,0.0304201920617662,0.00253558240946302
"Total_mortality_AM",0.000173732277199618,0.000810775766286552,0.00102205520556526,0.00106056195792061,0.0013357214955116,0.00173639282066485,0.000363501907187143
"Quantity_liveweight_kg",308.910306135709,478.117630745754,546.981734579399,560.947404603629,631.46723774885,792.067233395126,104.679757711901
"Quantity_liveweight_kg_JF",0.913697755663385,3.56843511444867,5.13657440685158,6.24888110188982,8.63661424098748,22.903916032064,3.8538798614174
"Quantity_liveweight_kg_JM",1.00182078718917,3.21775076696523,4.87667929731753,6.40680119866355,8.94482827325263,23.9265942580476,4.13051170619204
"Quantity_liveweight_kg_SubAF",1.96014819199315,20.0134399459561,29.4133953808192,32.3882130571788,38.4629601376363,89.0648720026254,17.5871851344429
"Quantity_liveweight_kg_SubAM",4.09744810431915,17.0728104930741,26.3302786129822,29.8174267047962,37.6222924970743,97.3864990697674,18.4426010740355
"Quantity_liveweight_kg_AF",156.466306987226,218.283141774709,247.794459311662,252.884564907874,287.63411754373,364.159089197701,48.7482099795458
"Quantity_liveweight_kg_AM",6.71877440028632,19.9838853523299,24.9573511426114,26.4445387936087,34.2793686260597,46.9677982968625,9.56087593330038
"Cumulative_draught_income",2255.09533648881,6049.32828617701,9149.33563026697,8876.76759795361,11241.734592682,16716.1462618906,3148.20969217963
"Quantity_meat_kg",14.9897491055554,25.8048810781794,29.9878016539128,30.7526405669296,35.7212850851542,48.4012704180508,7.5245020406089
"Num_offtake",0.130993716426418,0.202895623843295,0.246221527746029,0.244266593770289,0.285890226996066,0.387597680439161,0.0532992539001925
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",7.73230990528403e-05,0.00233790889307575,0.00328148516544979,0.00370683534177672,0.00478732635688582,0.0126579342589163,0.00211687679835948
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0652868900020482,0.0724326374830817,0.0771695501012375,0.0791336538447783,0.0841109318648456,0.106216368545483,0.00885334172559232
"Num_offtake_AM",0.00298422353379833,0.0139268083132627,0.0175559846820199,0.0182174205328661,0.0229438742515648,0.029826261434383,0.00624392291112404
"Offtake_liveweight_kg",29.9794982111108,51.6097621563588,59.9756033078256,61.5052811338593,71.4425701703085,96.8025408361015,15.0490040812178
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.0170308313724266,0.360414944397392,0.520046588455955,0.619636773302787,0.797995982077409,2.0652145453956,0.385426551480443
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",11.6167867579765,15.9806929516462,18.2180764118278,18.6541954533591,21.6007025684946,27.0171851606927,3.62145482690958
"Offtake_liveweight_kg_AM",0.973054037961112,3.64650829382647,4.58168273368842,4.8160775766342,6.26365548292634,8.8138510089551,1.80972329802706
"Pop_growth",-0.544502671725053,-0.404577303707792,-0.367740313459312,-0.365175197583465,-0.314693093678097,-0.226459527753054,0.0656446231515401
"Pop_growth_JF",-0.50304623743604,-0.1435032248497,-0.0999274772550367,-0.105133702506835,-0.03404143234122,0.0199954188645641,0.0945364825517997
"Pop_growth_JM",-0.399971712605456,-0.138562520318532,-0.0640421256437236,-0.0941104175253361,-0.0241078628220262,0.0159075882582693,0.0922230372230992
"Pop_growth_SubAF",-0.269178104262423,-0.0546522884937705,-0.00322985940711201,0.00169770334943661,0.0538498279362386,0.282534391066917,0.0954635255228885
"Pop_growth_SubAM",-0.266136462358082,-0.04204665457727,0.0107775107771989,0.0126911160517126,0.0716175412515276,0.196106982784114,0.0827075455759578
"Pop_growth_AF",-0.226991725065369,-0.133953080374828,-0.101228738697703,-0.0946236815002427,-0.0628912007140379,0.149406392438677,0.0602659910882385
