"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.247953518055586,0.307436732385527,0.334180188880228,0.339657016861392,0.3622206033385,0.498631466785909,0.0503330561869661
"Num_JM",0.249062347318261,0.302561256107926,0.334000593610362,0.349246751693564,0.389320546461859,0.557238570503766,0.0629252049589256
"Num_SubAF",0.144237573733489,0.215006590019321,0.263940350640967,0.291446667890504,0.354736683278328,0.602232243694623,0.103592683091435
"Num_SubAM",0.132453056664204,0.252390325599145,0.321026545675084,0.331634431046399,0.38878753353986,0.676231045223466,0.107310117833916
"Num_AF",0.895887803100111,1.00611452227386,1.06645822457695,1.08970521156826,1.16374202657877,1.46785308539159,0.117470347613476
"Num_AM",0.028712294058527,0.0694204254486354,0.110958902587647,0.104272279808831,0.134087001906296,0.183667743460302,0.0401054827215327
"Num_N",2.47594852485264,2.98890181413443,3.33474856745749,3.3349902001715,3.63584170482421,4.29606007925333,0.445498290554486
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",451.791869731904,614.426221114425,730.868936672289,733.154225321311,831.30616056179,1046.86122529416,130.150652984077
"Quantity_liveweight_kg_JF",16.7477018638915,28.6311553268502,33.6284171894024,34.7157195910327,40.4890076820938,55.7991041201164,8.98597483062203
"Quantity_liveweight_kg_JM",15.4479513363903,30.1079835147888,37.3413016387829,39.3977899666514,47.1999005944804,70.1170224472197,12.9133505630043
"Quantity_liveweight_kg_SubAF",18.2697281079313,35.1935619593276,45.3054870314139,52.602129004146,63.1324675754057,133.951318894504,22.4022983313387
"Quantity_liveweight_kg_SubAM",20.6595075451864,50.4015155563987,63.3204127491868,67.1788955248409,82.7863220685261,157.766723791441,25.7136747300845
"Quantity_liveweight_kg_AF",158.372921453669,219.959418609622,254.104396796347,257.887465453622,292.965573952951,396.376449020333,51.2974816938932
"Quantity_liveweight_kg_AM",9.78568735830584,19.7612197652221,31.5764038592068,31.3412811585165,40.9134042970857,69.4331290538431,13.0447197030712
"Cumulative_draught_income",3317.6338376053,9544.91245498651,12108.1415428716,12380.9373789096,15583.5947945786,22259.8763467236,4360.79231183653
"Quantity_meat_kg",17.2215783208513,26.7699560374098,35.0208406806001,34.4368017900627,40.7780496507176,60.0716187296285,9.42571622439185
"Num_offtake",0.138575188512706,0.212218851465151,0.246311431179764,0.2469586284402,0.280509690894201,0.359982535764831,0.054344424103606
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000943508298032662,0.00220401696991444,0.00300392024937798,0.0036977144945999,0.00474783310495375,0.0104421845273278,0.00213664529898503
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0670389324591796,0.072996217539605,0.0772539110156375,0.079193299246896,0.084303668325966,0.110361147388515,0.00861381866436744
"Num_offtake_AM",0.00388991636869761,0.0120832595512442,0.020052754583321,0.0184859215267404,0.0240898172625259,0.0330808395311231,0.00760072720015332
"Offtake_liveweight_kg",34.4431566417027,53.5399120748197,70.0416813612001,68.8736035801254,81.5560993014353,120.143237459257,18.8514324487837
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.154172019657216,0.353530058147216,0.542520837088933,0.670359853169324,0.916836800028279,2.05763268710815,0.427167807900226
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",11.5227881897433,15.8753222416992,18.4239712853894,18.7387556011449,21.4521330717971,29.8005074857367,3.72789721373336
"Offtake_liveweight_kg_AM",1.32575632432709,3.44972792045238,5.65085742120885,5.5521129381505,7.41948794183856,12.1241004153526,2.44832216057892
"Pop_growth",0.328571639524402,0.485883730083509,0.551796135855541,0.558441273800131,0.628727918313056,0.792726400835298,0.0928569497055641
"Pop_growth_JF",-0.0903324986099718,0.14414898460529,0.213141694959624,0.195660725860342,0.263829946490522,0.33489161808897,0.0925188939759222
"Pop_growth_JM",-0.121349503022857,0.12808646391903,0.194107951028536,0.178006557447821,0.245423103318567,0.337477932976133,0.0885867381823809
"Pop_growth_SubAF",-0.11460639585463,0.110147806435866,0.149380122153839,0.150020630870406,0.191847368974564,0.372888022494056,0.0816213783614091
"Pop_growth_SubAM",-0.170842626586332,0.082848274393145,0.156372781019439,0.15063545414336,0.214063089920489,0.399587750819808,0.104873737320648
"Pop_growth_AF",-0.195529182663669,-0.115464758710443,-0.0815138627056806,-0.072335697603766,-0.0413848401960571,0.0987826162027912,0.0595641092950137
"Pop_growth_AM",-0.0287926282433664,-0.0130258198527762,-0.00671132559887793,-0.0064337997486733,0.000494414094095754,0.0187763830269169,0.00975013948371212
"Quantity_manure",1186.41989447294,1514.34962235307,1753.12534567212,1729.22522118332,1917.70737230292,2328.04154876092,260.681226251103
"Quantity_manure_JF",39.1707028483029,49.5895780660595,58.1112071537532,62.8606824577966,68.8235681593776,119.372812549784,17.6940562815185
"Quantity_manure_JM",37.2779331062548,51.1895343912285,62.8527641477712,67.0816183458156,78.2256899577178,139.054129950095,21.007835882405
"Quantity_manure_SubAF",26.7152626642448,52.4259957491295,73.3415554305416,87.6516949028251,110.495609227825,234.062278423835,46.6761175808786
"Quantity_manure_SubAM",25.9762310099683,70.2817223570729,92.6537044376741,103.774411008532,131.139181902048,252.85146860006,48.1351976128415
"Quantity_manure_AF",553.693659995736,694.764494940304,761.678922677466,759.285383931177,807.275646827851,1053.85173680821,92.088277627643
